year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2026,ssp370,15007,Kauai,,887.4346923828125,7,2.4313278198242188,44.63923645019531,6.17490291595459,209,156,13.619120597839355,32.353981018066406
2027,ssp370,15007,Kauai,,1207.829833984375,10,3.3091228008270264,44.92082595825195,7.265782833099365,200,165,20.758495330810547,29.639413833618164
2028,ssp370,15007,Kauai,,1281.254638671875,14,3.510286569595337,55.22908020019531,8.446833610534668,168,197,17.24863624572754,44.57687759399414
2029,ssp370,15007,Kauai,,887.1024780273438,5,2.430417776107788,43.187477111816406,5.736576557159424,197,168,14.538395881652832,28.202651977539062
2030,ssp370,15007,Kauai,,1268.343505859375,16,3.4749135971069336,57.29248046875,8.666897773742676,207,158,23.302814483642578,41.04273223876953
2031,ssp370,15007,Kauai,,942.658203125,4,2.582625150680542,38.40567398071289,5.69407320022583,198,167,15.60403060913086,24.5506534576416
2032,ssp370,15007,Kauai,,1392.2408447265625,12,3.8143584728240967,49.812007904052734,8.053752899169922,182,183,19.088197708129883,40.74020004272461
2033,ssp370,15007,Kauai,,1145.454833984375,15,3.138232469558716,51.01795959472656,7.6751708984375,213,152,21.129859924316406,37.24217987060547
2034,ssp370,15007,Kauai,,1046.3472900390625,6,2.8667049407958984,42.04298400878906,6.707588195800781,206,159,20.31117057800293,30.335155487060547
2035,ssp370,15007,Kauai,,1325.282958984375,12,3.6309123039245605,48.67304992675781,7.377768516540527,172,193,18.825035095214844,33.49575424194336
2036,ssp370,15007,Kauai,,2119.2919921875,23,5.80627965927124,56.337806701660156,10.262301445007324,132,233,28.799959182739258,45.0657844543457
2037,ssp370,15007,Kauai,,1442.433349609375,14,3.9518721103668213,63.64621353149414,9.672772407531738,205,160,23.11021614074707,56.288047790527344
2038,ssp370,15007,Kauai,,1102.3758544921875,8,3.0202078819274902,34.619789123535156,6.516921520233154,202,163,18.60251808166504,29.674074172973633
2039,ssp370,15007,Kauai,,1098.639404296875,11,3.0099709033966064,55.93013381958008,7.9300642013549805,227,138,17.294326782226562,39.061500549316406
2040,ssp370,15007,Kauai,,913.9426879882812,8,2.5039525032043457,48.2494010925293,6.45026159286499,196,169,13.57445240020752,36.43341827392578
2041,ssp370,15007,Kauai,,1977.7138671875,21,5.418394088745117,61.68181610107422,10.522598266601562,168,197,26.703445434570312,46.73687744140625
2042,ssp370,15007,Kauai,,1190.085205078125,7,3.260507345199585,60.44736099243164,7.611310958862305,180,185,18.793684005737305,38.00359344482422
2043,ssp370,15007,Kauai,,998.8380126953125,3,2.7365424633026123,43.13531494140625,5.3772125244140625,151,214,13.982776641845703,20.17683982849121
2044,ssp370,15007,Kauai,,1498.9407958984375,16,4.106687068939209,69.2860107421875,9.60402774810791,164,201,22.45899772644043,47.747318267822266
2045,ssp370,15007,Kauai,,1373.876708984375,17,3.7640457153320312,65.19384765625,8.567612648010254,176,189,24.79543113708496,34.36933135986328
2046,ssp370,15007,Kauai,,1810.878662109375,18,4.961311340332031,83.80261993408203,10.709183692932129,173,192,25.00724220275879,48.85828399658203
2047,ssp370,15007,Kauai,,1226.82861328125,12,3.3611743450164795,62.58204650878906,7.554675579071045,159,206,20.449779510498047,33.455326080322266
2048,ssp370,15007,Kauai,,2118.78955078125,19,5.804903030395508,52.09269714355469,9.48247241973877,136,229,25.448026657104492,42.63084411621094
2049,ssp370,15007,Kauai,,1070.3812255859375,4,2.932551383972168,29.831369400024414,6.149961948394775,189,176,19.096397399902344,24.85271453857422
2050,ssp370,15007,Kauai,,1116.004150390625,6,3.0575456619262695,51.52771759033203,6.344866752624512,164,201,13.966249465942383,31.217418670654297
2051,ssp370,15007,Kauai,,2975.737548828125,32,8.152705192565918,77.91529083251953,12.66974925994873,99,266,32.02161407470703,58.366355895996094
2052,ssp370,15007,Kauai,,1639.0,13,4.490410804748535,52.80890655517578,8.133757591247559,148,217,22.71495819091797,33.442840576171875
2053,ssp370,15007,Kauai,,2579.63134765625,35,7.067482948303223,74.47421264648438,12.649197578430176,159,206,31.613819122314453,54.23785400390625
2054,ssp370,15007,Kauai,,915.1695556640625,7,2.5073139667510986,50.50326156616211,6.365816116333008,184,181,11.74422550201416,34.792179107666016
2055,ssp370,15007,Kauai,,2560.80517578125,21,7.015904426574707,79.01933288574219,10.262494087219238,110,255,26.315046310424805,38.245765686035156
2056,ssp370,15007,Kauai,,1344.482421875,14,3.6835134029388428,71.99630737304688,10.377913475036621,205,160,17.27899932861328,61.95314025878906
2057,ssp370,15007,Kauai,,1087.408447265625,2,2.979201316833496,36.19526290893555,5.451357841491699,142,223,15.418684005737305,21.773515701293945
2058,ssp370,15007,Kauai,,958.4622802734375,6,2.6259241104125977,69.8331069946289,6.329746723175049,195,170,14.36044692993164,27.162891387939453
2059,ssp370,15007,Kauai,,1733.997802734375,23,4.750679016113281,62.45625686645508,11.18035888671875,165,200,27.802404403686523,57.621978759765625
2060,ssp370,15007,Kauai,,1425.848876953125,14,3.906435251235962,76.72879791259766,8.854326248168945,184,181,21.29477310180664,36.66916275024414
2061,ssp370,15007,Kauai,,2016.0865478515625,27,5.523524761199951,65.76596069335938,10.329806327819824,159,206,28.5096378326416,46.124366760253906
2062,ssp370,15007,Kauai,,970.9888916015625,6,2.660243511199951,73.11648559570312,7.687480926513672,201,164,13.727312088012695,33.25117492675781
2063,ssp370,15007,Kauai,,2289.223388671875,22,6.271844863891602,66.41427612304688,10.934754371643066,127,238,27.607561111450195,52.86640167236328
2064,ssp370,15007,Kauai,,1342.784912109375,13,3.6788628101348877,43.37582015991211,7.606182098388672,170,195,22.31307601928711,36.610595703125
2065,ssp370,15007,Kauai,,1340.063232421875,6,3.6714060306549072,56.58717727661133,7.507898807525635,186,179,19.29930877685547,30.97167205810547
2066,ssp370,15007,Kauai,,844.3807373046875,1,2.3133718967437744,37.207279205322266,5.073636054992676,189,176,13.521340370178223,23.78837013244629
2067,ssp370,15007,Kauai,,1148.0484619140625,13,3.145338296890259,57.64611053466797,7.9661102294921875,192,173,19.916011810302734,43.912803649902344
2068,ssp370,15007,Kauai,,1711.349853515625,14,4.688629627227783,44.35289001464844,8.485965728759766,170,195,23.315279006958008,33.55276870727539
2069,ssp370,15007,Kauai,,1526.578125,15,4.182405948638916,58.74739074707031,9.225418090820312,193,172,22.582765579223633,45.42679977416992
2070,ssp370,15007,Kauai,,1078.98095703125,11,2.9561121463775635,48.95970153808594,7.4395952224731445,177,188,18.356569290161133,40.1595573425293
2071,ssp370,15007,Kauai,,2273.93408203125,30,6.22995662689209,50.117103576660156,10.5394287109375,140,225,30.244882583618164,41.88636016845703
2072,ssp370,15007,Kauai,,870.336181640625,4,2.3844826221466064,53.47843933105469,5.866353511810303,196,169,14.928878784179688,25.112211227416992
2073,ssp370,15007,Kauai,,1756.439453125,14,4.81216287612915,77.44213104248047,9.16661548614502,137,228,20.916458129882812,39.368961334228516
2074,ssp370,15007,Kauai,,1945.2957763671875,17,5.329577445983887,47.75038146972656,8.951730728149414,160,205,24.40557289123535,34.66913986206055
2075,ssp370,15007,Kauai,,1866.728271484375,16,5.11432409286499,46.37085723876953,8.66063404083252,141,224,24.388582229614258,36.747596740722656
2076,ssp370,15007,Kauai,,1360.023681640625,5,3.7260923385620117,39.95246887207031,6.261246204376221,130,235,17.817018508911133,26.81587028503418
