cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
69120,2018,Tinian,47,,,,181.2355053518701
69120,2019,Tinian,18,,,,77.55574864665354
69120,2020,Tinian,69,,,,200.47582431102364
69120,2021,Tinian,86,,,,237.29161540354332
69120,2022,Tinian,3,,,,35.06573534387304
69120,2023,Tinian,26,,,,112.39716297059547
69120,2024,Tinian,62,,,,165.681671382874
69120,2025,Tinian,6,,,,63.98772472471703
69120,2026,Tinian,30,,,,128.77790315883368
69120,2027,Tinian,40,,,,131.3694655050443
69120,2028,Tinian,25,,,,101.49985005536418
69120,2029,Tinian,29,,,,106.38586329662894
69120,2030,Tinian,45,,,,144.32647945374018
69120,2031,Tinian,63,,,,204.42721149114175
69120,2032,Tinian,33,,,,136.56413401205708
69120,2033,Tinian,47,,,,158.74063807209646
69120,2034,Tinian,25,,,,94.03396246001476
69120,2035,Tinian,26,,,,110.62168391670768
69120,2036,Tinian,73,,,,216.27812423105317
69120,2037,Tinian,35,,,,145.62459630290354
69120,2038,Tinian,28,,,,102.63752614419292
69120,2039,Tinian,41,,,,157.95931117741142
69120,2040,Tinian,26,,,,113.1490872600886
69120,2041,Tinian,77,,,,211.67176734744095
69120,2042,Tinian,42,,,,128.59861358882875
69120,2043,Tinian,42,,,,128.12100147637796
69120,2044,Tinian,77,,,,217.4816029466043
69120,2045,Tinian,53,,,,170.090851070374
69120,2046,Tinian,75,,,,208.55395700049215
69120,2047,Tinian,21,,,,89.82173889640748
69120,2048,Tinian,56,,,,159.46333276943898
69120,2049,Tinian,20,,,,94.97658556840553
69120,2050,Tinian,12,,,,67.80230184239666
69120,2051,Tinian,99,,,,268.6149729330709
69120,2052,Tinian,104,,,,275.23479792076773
69120,2053,Tinian,52,,,,162.8757458784449
69120,2054,Tinian,37,,,,112.58070097194884
69120,2055,Tinian,68,,,,196.68310931348427
69120,2056,Tinian,40,,,,127.80822273314467
69120,2057,Tinian,66,,,,200.0129759781004
69120,2058,Tinian,27,,,,96.23945581631398
69120,2059,Tinian,68,,,,185.9197949987697
69120,2060,Tinian,64,,,,190.40754183070868
69120,2061,Tinian,47,,,,169.32380736343504
69120,2062,Tinian,21,,,,79.48544479730562
69120,2063,Tinian,59,,,,192.48375599778544
69120,2064,Tinian,97,,,,245.63299704724412
69120,2065,Tinian,27,,,,112.10479976624016
69120,2066,Tinian,12,,,,67.84219096026084
69120,2067,Tinian,32,,,,125.1011837936762
69120,2068,Tinian,113,,,,283.22519377460634
69120,2069,Tinian,60,,,,173.30568328617127
69120,2070,Tinian,42,,,,145.96854622908467
69120,2071,Tinian,93,,,,239.37102070004923
69120,2072,Tinian,23,,,,90.54014671505908
69120,2073,Tinian,51,,,,163.7284118171752
69120,2074,Tinian,65,,,,203.25410617618112
69120,2075,Tinian,66,,,,194.61177795890748
69120,2076,Tinian,16,,,,77.97110970564715
69120,2077,Tinian,71,,,,205.7605268823819
69120,2078,Tinian,79,,,,251.68583907480317
69120,2079,Tinian,64,,,,188.9763779527559
69120,2080,Tinian,21,,,,89.94664470041832
69120,2081,Tinian,37,,,,143.69928795521653
69120,2082,Tinian,83,,,,230.94069112942915
69120,2083,Tinian,31,,,,128.3303953155758
69120,2084,Tinian,17,,,,90.03735159325788
69120,2085,Tinian,22,,,,121.1104169229823
69120,2086,Tinian,81,,,,234.00871216781496
69120,2087,Tinian,97,,,,245.5776136503445
69120,2088,Tinian,61,,,,176.20889979084646
69120,2089,Tinian,22,,,,102.66354538324312
69120,2090,Tinian,112,,,,280.2179195374016
69120,2091,Tinian,47,,,,163.36529589074803
69120,2092,Tinian,30,,,,95.54397222563976
