year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2082,ssp370,66010,Guam,,10215.00390625,163,27.986312866210938,188.75596618652344,29.297630310058594,26,339,80.79715728759766,139.75540161132812
2083,ssp370,66010,Guam,,6147.25048828125,80,16.841781616210938,202.02902221679688,25.61614990234375,84,281,59.664894104003906,117.83753204345703
2084,ssp370,66010,Guam,,3706.679931640625,47,10.155287742614746,153.2766876220703,14.704421043395996,80,285,39.619476318359375,49.20366668701172
2085,ssp370,66010,Guam,,5560.56201171875,89,15.234416007995605,56.36222839355469,13.785216331481934,43,322,41.87834167480469,53.132911682128906
2086,ssp370,66010,Guam,,9088.09375,146,24.898887634277344,140.14349365234375,24.512226104736328,37,328,71.56861877441406,106.69532012939453
2087,ssp370,66010,Guam,,9608.8798828125,143,26.325698852539062,162.49815368652344,28.1032657623291,34,331,77.8398208618164,133.11473083496094
2088,ssp370,66010,Guam,,7379.90185546875,107,20.218908309936523,205.549560546875,28.375837326049805,78,287,70.1559829711914,126.46228790283203
2089,ssp370,66010,Guam,,4737.384765625,78,12.97913646697998,68.376220703125,15.111194610595703,72,293,43.24235534667969,60.32590866088867
2090,ssp370,66010,Guam,,11458.861328125,206,31.394140243530273,203.697265625,25.549551010131836,13,352,71.20347595214844,124.24354553222656
2091,ssp370,66010,Guam,,7283.6337890625,111,19.95516014099121,215.34466552734375,24.222755432128906,52,313,57.761993408203125,117.4285888671875
2092,ssp370,66010,Guam,,3855.842529296875,46,10.563952445983887,129.18899536132812,18.289445877075195,93,272,50.60856246948242,82.77777862548828
2093,ssp370,66010,Guam,,3151.6572265625,46,8.634676933288574,76.36013793945312,13.174403190612793,94,271,37.38605499267578,55.29400634765625
2094,ssp370,66010,Guam,,6799.80615234375,106,18.629606246948242,90.08683776855469,18.47134780883789,41,324,58.93679428100586,75.92816162109375
2095,ssp370,66010,Guam,,10941.669921875,180,29.9771785736084,266.3809814453125,30.474275588989258,17,348,86.7255859375,146.41854858398438
2096,ssp370,66010,Guam,,7961.0009765625,123,21.81096076965332,205.02003479003906,27.1639404296875,60,305,68.01866149902344,120.55293273925781
