year,scenario,county_id,county_name,state,mean_annual_temp_c,min_temp_c,max_temp_c,temp_range_c,temp_std_c,days_below_freezing,days_above_30c,growing_degree_days,cooling_degree_days,heating_degree_days
2055,historical,15005,Kalawao,,26.301782608032227,21.93463134765625,29.273391723632812,7.3387603759765625,1.8332750797271729,0,0,5950.150390625,3030.150390625,0.0
2056,historical,15005,Kalawao,,25.605228424072266,20.637481689453125,28.743133544921875,8.10565185546875,1.7941126823425293,0,0,5695.908203125,2775.90771484375,0.0
2057,historical,15005,Kalawao,,25.638120651245117,21.59173583984375,28.49859619140625,6.9068603515625,1.4637696743011475,0,0,5707.9140625,2787.9140625,0.0
2058,historical,15005,Kalawao,,24.334156036376953,20.890518188476562,26.223587036132812,5.33306884765625,1.1203159093856812,0,0,5231.96728515625,2311.96728515625,0.0
2059,historical,15005,Kalawao,,25.163190841674805,20.39434814453125,27.609115600585938,7.2147674560546875,1.45844304561615,0,0,5534.564453125,2614.564697265625,0.0
2060,historical,15005,Kalawao,,25.53489112854004,20.926177978515625,28.79656982421875,7.870391845703125,1.6804563999176025,0,0,5670.2353515625,2750.2353515625,0.0
2061,historical,15005,Kalawao,,25.949831008911133,20.620819091796875,30.146224975585938,9.525405883789062,1.9231996536254883,0,1,5821.68994140625,2901.689453125,0.0
2062,historical,15005,Kalawao,,25.358261108398438,20.437942504882812,27.940673828125,7.5027313232421875,1.7384650707244873,0,0,5605.76513671875,2685.76513671875,0.0
2063,historical,15005,Kalawao,,26.114469528198242,22.0194091796875,28.20648193359375,6.18707275390625,1.4418003559112549,0,0,5881.78173828125,2961.78125,0.0
2064,historical,15005,Kalawao,,25.56204605102539,22.758285522460938,28.2578125,5.4995269775390625,1.37021005153656,0,0,5680.14697265625,2760.14697265625,0.0
2065,historical,15005,Kalawao,,25.224157333374023,20.768341064453125,28.755020141601562,7.9866790771484375,1.722782850265503,0,0,5556.8173828125,2636.81689453125,0.0
2066,historical,15005,Kalawao,,25.465768814086914,20.701934814453125,28.807540893554688,8.105606079101562,2.023594856262207,0,0,5645.00634765625,2725.006103515625,0.0
2067,historical,15005,Kalawao,,25.587371826171875,20.85113525390625,28.803924560546875,7.952789306640625,1.886587381362915,0,0,5689.3896484375,2769.389892578125,0.0
2068,historical,15005,Kalawao,,26.355785369873047,21.39544677734375,28.969696044921875,7.574249267578125,1.545075535774231,0,0,5969.861328125,3049.861083984375,0.0
2069,historical,15005,Kalawao,,26.16259002685547,21.9307861328125,30.021087646484375,8.090301513671875,2.105926752090454,0,1,5899.345703125,2979.345703125,0.0
2070,historical,15005,Kalawao,,25.462669372558594,20.61773681640625,28.466217041015625,7.848480224609375,1.7713663578033447,0,0,5643.8740234375,2723.8740234375,0.0
2071,historical,15005,Kalawao,,27.011333465576172,22.152130126953125,31.132171630859375,8.98004150390625,2.0075249671936035,0,16,6209.13671875,3289.136962890625,0.0
2072,historical,15005,Kalawao,,25.889955520629883,20.746429443359375,29.330581665039062,8.584152221679688,2.1778159141540527,0,0,5799.8349609375,2879.8349609375,0.0
2073,historical,15005,Kalawao,,26.229543685913086,22.138351440429688,28.98394775390625,6.8455963134765625,1.580179214477539,0,0,5923.783203125,3003.782958984375,0.0
2074,historical,15005,Kalawao,,26.705110549926758,22.402877807617188,29.634109497070312,7.231231689453125,1.7453091144561768,0,0,6097.36572265625,3177.36572265625,0.0
2075,historical,15005,Kalawao,,26.948347091674805,23.236343383789062,29.898605346679688,6.662261962890625,1.5554627180099487,0,0,6186.146484375,3266.146728515625,0.0
2076,historical,15005,Kalawao,,25.522907257080078,21.453216552734375,28.105056762695312,6.6518402099609375,1.5169733762741089,0,0,5665.861328125,2745.861328125,0.0
2077,historical,15005,Kalawao,,25.861194610595703,21.723968505859375,28.540756225585938,6.8167877197265625,1.5633701086044312,0,0,5789.3359375,2869.33642578125,0.0
2078,historical,15005,Kalawao,,26.014774322509766,21.98333740234375,28.0908203125,6.10748291015625,1.2131954431533813,0,0,5845.392578125,2925.392822265625,0.0
2079,historical,15005,Kalawao,,26.305702209472656,23.412582397460938,29.284347534179688,5.87176513671875,1.350662112236023,0,0,5951.5810546875,3031.580810546875,0.0
2080,historical,15005,Kalawao,,25.63709259033203,21.808319091796875,29.047622680664062,7.2393035888671875,1.9452563524246216,0,0,5707.5390625,2787.538818359375,0.0
2081,historical,15005,Kalawao,,26.722671508789062,21.714553833007812,30.545730590820312,8.8311767578125,2.2361514568328857,0,7,6103.77587890625,3183.775634765625,0.0
2082,historical,15005,Kalawao,,27.48433494567871,22.96435546875,30.264495849609375,7.300140380859375,1.7447696924209595,0,5,6381.7822265625,3461.7822265625,0.0
2083,historical,15005,Kalawao,,27.169269561767578,22.679367065429688,30.380050659179688,7.70068359375,2.0274100303649902,0,17,6266.78369140625,3346.78369140625,0.0
2084,historical,15005,Kalawao,,26.74761962890625,22.27032470703125,29.69061279296875,7.4202880859375,1.9189105033874512,0,0,6112.880859375,3192.880859375,0.0
2085,historical,15005,Kalawao,,26.862714767456055,21.262664794921875,29.786453247070312,8.523788452148438,1.5644959211349487,0,0,6154.890625,3234.890625,0.0
2086,historical,15005,Kalawao,,26.416261672973633,21.663360595703125,28.8984375,7.235076904296875,1.5771840810775757,0,0,5991.935546875,3071.935546875,0.0
2087,historical,15005,Kalawao,,27.488283157348633,21.86724853515625,30.55950927734375,8.6922607421875,1.8933279514312744,0,23,6383.2236328125,3463.2236328125,0.0
2088,historical,15005,Kalawao,,27.130586624145508,22.79327392578125,30.536697387695312,7.7434234619140625,1.9257307052612305,0,10,6252.6640625,3332.664306640625,0.0
2089,historical,15005,Kalawao,,26.646053314208984,21.19989013671875,30.275711059570312,9.075820922851562,2.2786271572113037,0,3,6075.80908203125,3155.80908203125,0.0
2090,historical,15005,Kalawao,,27.627904891967773,24.789276123046875,30.212860107421875,5.423583984375,1.291408896446228,0,2,6434.18505859375,3514.18505859375,0.0
2091,historical,15005,Kalawao,,27.731842041015625,24.205184936523438,30.241241455078125,6.0360565185546875,1.5591202974319458,0,10,6472.1220703125,3552.122314453125,0.0
2092,historical,15005,Kalawao,,26.540868759155273,22.19757080078125,29.873611450195312,7.6760406494140625,1.764927625656128,0,0,6037.4169921875,3117.4169921875,0.0
2093,historical,15005,Kalawao,,25.723020553588867,21.572982788085938,28.202606201171875,6.6296234130859375,1.5434701442718506,0,0,5738.90234375,2818.90185546875,0.0
2094,historical,15005,Kalawao,,26.085693359375,21.9488525390625,28.664047241210938,6.7151947021484375,1.5310204029083252,0,0,5871.27734375,2951.27734375,0.0
2095,historical,15005,Kalawao,,27.119279861450195,23.628463745117188,29.691192626953125,6.0627288818359375,1.4377872943878174,0,0,6248.53662109375,3328.5361328125,0.0
2096,historical,15005,Kalawao,,26.763633728027344,22.898239135742188,30.03485107421875,7.1366119384765625,1.7362332344055176,0,1,6118.7265625,3198.7265625,0.0
