cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
78010,2040,St. Croix,27,,,,102.38292784202757
78020,2040,St. John,19,,,,86.21999184916339
72057,2040,Guayama,21,,,,100.32432255782481
72035,2040,Cayey,22,,,,106.63421390563485
72125,2040,San Germán,12,,,,87.9988158218504
72079,2040,Lajas,18,,,,95.87743563914863
72059,2040,Guayanilla,16,,,,94.20328455647146
78030,2041,St. Thomas,7,,,,76.59520907664863
72151,2041,Yabucoa,9,,,,93.31512210875985
72133,2041,Santa Isabel,2,,,,79.13084495724657
72043,2041,Coamo,2,,,,84.15684977854332
72113,2041,Ponce,2,,,,80.88546152189961
78010,2041,St. Croix,9,,,,84.57807886318898
78020,2041,St. John,5,,,,73.55576883150837
72057,2041,Guayama,2,,,,81.57764825295276
72035,2041,Cayey,3,,,,88.37944451279527
72125,2041,San Germán,1,,,,70.27442751906989
72079,2041,Lajas,1,,,,72.61463075172244
72059,2041,Guayanilla,2,,,,76.02280023529774
78030,2042,St. Thomas,11,,,,89.33850386011319
72151,2042,Yabucoa,18,,,,107.83656803641733
72133,2042,Santa Isabel,6,,,,92.82938799520177
72043,2042,Coamo,8,,,,97.90111151267224
72113,2042,Ponce,6,,,,95.77529066190945
78010,2042,St. Croix,13,,,,96.15323765071359
78020,2042,St. John,7,,,,85.40288970226378
72057,2042,Guayama,8,,,,95.14044814222441
72035,2042,Cayey,14,,,,102.22648560531496
72125,2042,San Germán,1,,,,85.00700702817421
72079,2042,Lajas,4,,,,90.18944928026575
72059,2042,Guayanilla,3,,,,90.57707538754921
78030,2043,St. Thomas,9,,,,76.63169560469981
72151,2043,Yabucoa,23,,,,95.99742018331693
72133,2043,Santa Isabel,9,,,,83.73230461060533
72043,2043,Coamo,10,,,,88.22715458907481
72113,2043,Ponce,11,,,,87.29915108267717
78010,2043,St. Croix,14,,,,84.50654758243111
78020,2043,St. John,5,,,,73.38364007904774
72057,2043,Guayama,9,,,,85.32174658587599
72035,2043,Cayey,15,,,,91.4852400652067
72125,2043,San Germán,3,,,,77.81930998554381
72079,2043,Lajas,8,,,,83.98454801304135
72059,2043,Guayanilla,5,,,,82.73328886257383
78030,2044,St. Thomas,15,,,,83.21340966412401
72151,2044,Yabucoa,22,,,,101.83363065944883
72133,2044,Santa Isabel,11,,,,87.40925465981792
72043,2044,Coamo,17,,,,92.81521053764764
72113,2044,Ponce,14,,,,91.91052534448819
78010,2044,St. Croix,19,,,,91.76459845595473
78020,2044,St. John,9,,,,79.59166999876969
72057,2044,Guayama,14,,,,89.45843073326772
72035,2044,Cayey,17,,,,96.44548551304135
72125,2044,San Germán,8,,,,82.20450333722934
72079,2044,Lajas,12,,,,88.6021315206693
72059,2044,Guayanilla,11,,,,87.37110528420276
78030,2045,St. Thomas,11,,,,84.87742987204724
72151,2045,Yabucoa,21,,,,102.99598033033958
72133,2045,Santa Isabel,8,,,,87.6648237573819
72043,2045,Coamo,11,,,,92.0488204355315
72113,2045,Ponce,7,,,,87.71249846210631
78010,2045,St. Croix,20,,,,94.54118863804135
78020,2045,St. John,8,,,,80.87603231114666
72057,2045,Guayama,12,,,,91.3799712413878
72035,2045,Cayey,15,,,,97.32258473794292
72125,2045,San Germán,2,,,,76.69933409202757
72079,2045,Lajas,6,,,,80.90793399360237
72059,2045,Guayanilla,3,,,,82.32887087844489
78030,2046,St. Thomas,6,,,,70.39107195035679
72151,2046,Yabucoa,15,,,,87.47021292138288
72133,2046,Santa Isabel,6,,,,75.33894215981792
72043,2046,Coamo,6,,,,78.90413539616142
72113,2046,Ponce,7,,,,76.61926750123033
78010,2046,St. Croix,14,,,,80.77823188361221
78020,2046,St. John,4,,,,67.07286924827757
72057,2046,Guayama,7,,,,77.93759804072343
72035,2046,Cayey,8,,,,82.75698203740158
72125,2046,San Germán,2,,,,67.41739588459646
72079,2046,Lajas,2,,,,71.44127072311763
72059,2046,Guayanilla,2,,,,72.07993394746555
78030,2047,St. Thomas,5,,,,73.35549181840551
72151,2047,Yabucoa,9,,,,96.0820235605315
72133,2047,Santa Isabel,3,,,,86.91812830647146
72043,2047,Coamo,3,,,,90.28917207492619
72113,2047,Ponce,3,,,,90.2554441437008
78010,2047,St. Croix,5,,,,84.11336583415356
78020,2047,St. John,1,,,,69.9254698265256
72057,2047,Guayama,3,,,,87.78451033464567
72035,2047,Cayey,5,,,,92.75584784079724
72125,2047,San Germán,1,,,,81.87321219857284
72079,2047,Lajas,5,,,,88.89269731176182
72059,2047,Guayanilla,1,,,,85.98813515009843
78030,2048,St. Thomas,2,,,,49.23588309701034
72151,2048,Yabucoa,10,,,,62.36062838336615
72133,2048,Santa Isabel,5,,,,55.356724055733274
72043,2048,Coamo,5,,,,57.16238427349902
72113,2048,Ponce,6,,,,56.41595795398622
78010,2048,St. Croix,5,,,,57.75100347563977
78020,2048,St. John,2,,,,47.04632616418554
72057,2048,Guayama,6,,,,56.82451863927166
72035,2048,Cayey,6,,,,59.475587859867126
72125,2048,San Germán,2,,,,50.40539839136319
72079,2048,Lajas,6,,,,54.62524894654282
72059,2048,Guayanilla,4,,,,53.25910433070867
78030,2049,St. Thomas,1,,,,40.514584038201285
72151,2049,Yabucoa,4,,,,49.23459030511811
72133,2049,Santa Isabel,1,,,,43.019101600947344
72043,2049,Coamo,3,,,,44.90245909202756
72113,2049,Ponce,2,,,,44.323211429625985
78010,2049,St. Croix,4,,,,46.59418541615404
78020,2049,St. John,0,,,,39.27079808993602
72057,2049,Guayama,3,,,,44.10926158033957
72035,2049,Cayey,3,,,,46.76086906373032
72125,2049,San Germán,1,,,,39.3202269546629
72079,2049,Lajas,1,,,,42.811336967888785
72059,2049,Guayanilla,1,,,,41.78401916984498
78030,2050,St. Thomas,12,,,,90.54957592581201
72151,2050,Yabucoa,18,,,,106.78785909817914
72133,2050,Santa Isabel,8,,,,90.07139671505907
72043,2050,Coamo,8,,,,93.01623246801182
72113,2050,Ponce,5,,,,89.00607852485237
78010,2050,St. Croix,16,,,,106.06964351624016
78020,2050,St. John,10,,,,87.1232160433071
72057,2050,Guayama,10,,,,94.74053810900591
72035,2050,Cayey,13,,,,99.39717450479823
72125,2050,San Germán,3,,,,74.91422397883859
72079,2050,Lajas,3,,,,79.83913151297983
72059,2050,Guayanilla,4,,,,81.6638471948819
78030,2051,St. Thomas,11,,,,72.04763817974901
72151,2051,Yabucoa,13,,,,88.50426381028544
72133,2051,Santa Isabel,8,,,,76.25325841227854
72043,2051,Coamo,9,,,,81.53152105376476
72113,2051,Ponce,10,,,,80.72086844857284
78010,2051,St. Croix,11,,,,76.67504498339075
78020,2051,St. John,9,,,,69.1804564468504
72057,2051,Guayama,9,,,,77.36567459707186
72035,2051,Cayey,11,,,,84.29197296382874
72125,2051,San Germán,7,,,,72.9674331785187
72079,2051,Lajas,9,,,,77.23637137826034
72059,2051,Guayanilla,8,,,,77.35716331662157
78030,2052,St. Thomas,10,,,,73.66294560469981
72151,2052,Yabucoa,17,,,,89.81018546998033
72133,2052,Santa Isabel,7,,,,77.65327994279036
72043,2052,Coamo,12,,,,81.94981852854332
72113,2052,Ponce,12,,,,80.87169737327757
78010,2052,St. Croix,10,,,,81.35744109867126
78020,2052,St. John,8,,,,70.90915950264518
72057,2052,Guayama,8,,,,79.44922259473425
72035,2052,Cayey,15,,,,85.25451179564469
72125,2052,San Germán,7,,,,72.40091158649115
72079,2052,Lajas,11,,,,78.943962037094
72059,2052,Guayanilla,11,,,,76.73198549766241
78030,2053,St. Thomas,4,,,,67.76771365188239
72151,2053,Yabucoa,9,,,,83.19838636503445
72133,2053,Santa Isabel,4,,,,71.19418407049704
72043,2053,Coamo,5,,,,75.21880382627953
72113,2053,Ponce,5,,,,72.1155073511319
78010,2053,St. Croix,9,,,,73.68099182609498
78020,2053,St. John,3,,,,64.66469591996801
72057,2053,Guayama,6,,,,73.5596664308563
72035,2053,Cayey,8,,,,79.01165819543553
72125,2053,San Germán,1,,,,63.37159644900345
72079,2053,Lajas,2,,,,65.80949918491635
72059,2053,Guayanilla,1,,,,68.01084984005905
78030,2054,St. Thomas,7,,,,80.81600639763779
72151,2054,Yabucoa,15,,,,99.96756966658465
72133,2054,Santa Isabel,4,,,,86.55522384042816
72043,2054,Coamo,5,,,,90.50712044783465
72113,2054,Ponce,4,,,,88.20016455462599
78010,2054,St. Croix,14,,,,92.80330147330217
78020,2054,St. John,7,,,,77.76454174612451
72057,2054,Guayama,4,,,,89.32188499630907
72035,2054,Cayey,7,,,,94.74453663262796
72125,2054,San Germán,0,,,,77.97477662093996
72079,2054,Lajas,5,,,,83.87260857529527
72059,2054,Guayanilla,1,,,,83.09185839074803
78030,2055,St. Thomas,5,,,,59.181782880167326
72151,2055,Yabucoa,10,,,,71.28821665846458
72133,2055,Santa Isabel,6,,,,62.66849067267471
72043,2055,Coamo,7,,,,64.94525579016978
72113,2055,Ponce,6,,,,63.52757251168799
78010,2055,St. Croix,8,,,,67.71906815175936
78020,2055,St. John,5,,,,57.211149921567426
72057,2055,Guayama,7,,,,64.15378360297737
72035,2055,Cayey,8,,,,67.88873146838091
72125,2055,San Germán,4,,,,55.31468669260581
72079,2055,Lajas,5,,,,59.45487435408465
72059,2055,Guayanilla,4,,,,59.31092750369095
78030,2056,St. Thomas,16,,,,89.0119994156004
72151,2056,Yabucoa,23,,,,106.20902474470965
72133,2056,Santa Isabel,7,,,,90.61747393270177
72043,2056,Coamo,9,,,,94.13843350147638
72113,2056,Ponce,6,,,,90.64332015871064
78010,2056,St. Croix,21,,,,103.24121670460138
78020,2056,St. John,15,,,,85.62990203617126
72057,2056,Guayama,9,,,,94.59393839197836
72035,2056,Cayey,16,,,,99.70993402436024
72125,2056,San Germán,3,,,,78.0826598640502
72079,2056,Lajas,4,,,,82.81959353469489
72059,2056,Guayanilla,5,,,,84.20399583230808
78030,2057,St. Thomas,1,,,,48.11250941959892
72151,2057,Yabucoa,5,,,,59.834695650836615
72133,2057,Santa Isabel,3,,,,53.72314453125
72043,2057,Coamo,3,,,,54.438341996801185
72113,2057,Ponce,2,,,,54.55224224901575
78010,2057,St. Croix,6,,,,59.16621170644685
78020,2057,St. John,1,,,,46.29311388871801
72057,2057,Guayama,3,,,,55.18426850086122
72035,2057,Cayey,3,,,,56.77039439283957
72125,2057,San Germán,1,,,,47.63002891240158
